symbol,assets,shares
TWOU,260948000,63569109
MMM,12971000000,944033056
ABT,15667000000,1976855085
ABBV,49519000000,1781582608
ABMD,635863000,47542061
ACHC,542211000,87715591
ACN,15450601000,655348671
ATVI,7292000000,1197436644
AYI,1441800000,53778155
ADNT,4116000000,93620714
ADBE,6494925000,600834000
ADT,625483000,753622044
AAP,5695543000,76051000
AMD,4597000000,1175000000
ACM,7534645000,157482983
AES,5231000000,817843916
AMG,1069800000,58500000
AFL,8576000000,1349309000
AGCO,3729100000,75471562
A,3189000000,309000000
AGIO,611704000,68401105
AGNC,11653000000,540900000
AL,587661000,113350267
APD,4618300000,249455584
AKAM,2231613000,165953111
ALK,2037000000,131812173
ALB,2225109000,106040000
AA,3530000000,185580166
ARE,977927000,120800315
ALXN,5076400000,237800000
ALGN,1633419000,78433000
ALKS,961970000,160489888
Y,4824443000,17459961
ALLE,1001800000,92723682
AGN,11126700000,328600000
ADS,24112700000,115000000
LNT,875500000,245022800
ALSN,686000000,118199782
ALL,21034000000,900000000
ALLY,115767000000,496957805
ALNY,1715864000,112188000
GOOGL,152578000000,688335000
GOOG,152578000000,688335000
MO,4824000000,2805961317
AMZN,96334000000,521000000
AMCX,2330297000,75370000
DOX,1675574000,277148123
UHAL,1259894000,41985700
AEE,1431000000,246200000
AAL,8206000000,428202506
ACC,146114000,137404752
AEP,4077800000,514373631
AXP,170932000000,810000000
AFG,10503000000,105203686
AMH,509157000,300742674
AIG,70127000000,1906671492
ANAT,1876601000,30832449
AMT,2553800000,453541000
AWK,1285000000,185903727
AMP,17784000000,329842827
ABC,28132054000,285295170
AME,2025771000,265583732
AMGN,18440000000,591400000
APH,4211200000,298700000
ADI,1985126000,368302369
NLY,12761205000,1430106199
ANSS,1555480000,94627585
AR,922885000,295941000
ANTM,39033000000,252922161
AON,16476000000,232100000
APA,1961000000,417026863
AIV,252718000,148885197
APY,493440000,77500000
APLE,79035000,223862913
AAPL,162819000000,4443236000
AMAT,10206000000,1995000000
ATR,1291241000,68600000
APTV,5319000000,255288240
WTR,2012738000,223871284
ARMK,2658387000,282919536
ADM,21347000000,557000000
ARNC,1476000000,108604051
ARD,2466000000,236360768
ANET,3471636000,76389000
AWI,244400000,62263395
ARW,12526159000,125424000
ASH,1433000000,60000000
AZPN,429040000,103642292
ASB,871434000,175216409
AIZ,13749100000,161607866
AGO,3643000000,93274987
T,54761000000,7620748598
ATH,45052000000,177700000
TEAM,2042111000,241996125
ATO,458031000,119338925
ADSK,2659300000,219400000
ADP,34342300000,638700000
AN,4411100000,102562149
AZO,5028685000,25445000
AVB,315565000,140643962
AGR,2025000000,309752140
AVY,2340600000,124126624
AVT,6876336000,104037769
EQH,23259000000,552896328
AXTA,2573400000,250100000
AXS,10110676000,176580000
BKR,15222000000,1027493000
BLL,4884000000,676302319
BAC,777955000000,8836148954
BOH,711184000,58166910
BK,163994000000,1374443376
OZK,1590061000,128951024
BKU,306971000,95128231
BAX,7503000000,683494944
BDX,6664000000,346687160
WRB,6698713000,352676764
BERY,3757000000,132300000
BBY,8857000000,256494000
BYND,403594000,61576494
BGCP,2425666000,404324000
BIIB,8381800000,198000000
BMRN,1942143000,179838114
BIO,2180155000,30055567
TECH,412607000,37934040
BKI,255500000,153062920
BLK,27067000000,172075373
HRB,1993359000,238336760
BLUE,1152174000,55368000
BA,102229000000,1012261159
BOKF,4660962000,75758597
BKNG,9833000000,63179471
BAH,1699340000,159924825
BWA,3836000000,246387057
BSX,4699000000,1642488911
BDN,289026000,177585637
BFAM,228888000,57884020
BHF,23206000000,120647871
BMY,29354000000,2900000000
BRX,281735000,305334144
AVGO,9917000000,398000000
BR,1042400000,154500000
BRO,2494802000,297106000
BRKR,1796300000,173502375
BC,1525800000,102538000
BG,10248000000,154695455
BURL,1417371000,79882506
BWXT,629755000,126579285
CHRW,2640118000,179380000
CABO,181488000,5887899
CBT,1210000000,57250454
COG,568248000,476881991
CACI,1031520000,42314000
CDNS,1169343000,329159000
CZR,2609000000,730000000
CPT,58132000,106836000
CPB,1967000000,323000000
CMD,351796000,46362902
COF,17103000000,672969391
CAH,25747000000,327000000
CSL,1752000000,54900000
KMX,3663687000,163081376
CCL,2059000000,813984373
CRI,1107757000,43963103
CASY,410580000,36664521
CTLT,1395800000,145700000
CAT,39193000000,814894624
CBOE,607600000,125701889
CBRE,7534464000,334752283
CBS,6752000000,1116000000
CDK,987100000,160300000
CDW,4334100000,143000000
CE,2765000000,168973172
CNC,20323000000,421508000
CDEV,120129000,276845465
CNP,3847000000,502242061
CTL,4768000000,1090058000
CDAY,3623700000,144386618
BXP,1981086000,154869198
CF,974000000,216023826
CRL,1021325000,48936000
CHTR,6471000000,227362064
CHE,190671000,35810528
LNG,4212000000,270700000
CHK,1251000000,9772792
CVX,28329000000,2442676580
CIM,15110146000,187226081
CMG,1072204000,36323000
CHH,236589000,95065638
CB,35748000000,479783864
CHD,956400000,292855100
CI,29845000000,385543000
XEC,621486000,102144577
CINF,3582000000,198300000
CNK,634990000,121863515
CTAS,2236280000,184790626
CSCO,47755000000,4250000000
CIT,4107800000,162188287
C,761299000000,3099602856
CFG,7865000000,568238730
CTXS,1512732000,318760000
CLH,1400908000,55797734
CLX,1305000000,158741461
CME,39567800000,357472100
CMS,2331000000,283900000
CNA,9167000000,273040243
CNX,498101000,186642962
KO,20411000000,7040128924
CGNX,607231000,172440000
CTSH,7611000000,548000000
COHR,1094821000,23982000
CFX,1404245000,118059082
CL,4179000000,1465706360
CLNY,3336045000,487778000
CXP,137298000,115280597
COLM,1875746000,67561000
CMCSA,25392000000,5425825673
CMA,9863000000,228169234
CBSH,1905774000,112795605
COMM,3511800000,201974912
CAG,2733800000,584219229
CXO,1055000000,198863681
CNDT,1586000000,211511000
COP,16913000000,1795652203
ED,4272000000,355840297
STZ,3484100000,216083178
CERN,2096624000,367634796
CPA,1234443000,44773872
CPRT,687167000,229790268
CLGX,446549000,78972000
COR,70066000,37701042
GLW,7463000000,1718000000
OFC,279347000,112068705
CSGP,1199165000,36668000
COST,23485000000,439625000
COTY,3272700000,819200000
CR,1499900000,72426139
CACC,7269100000,18352779
CCI,1204000000,416000000
CCK,4002000000,185744072
CSX,3278000000,773000000
CUBE,82174000,193557024
CFR,4053872000,64236306
CMI,9387000000,222400000
CW,1529791000,49187378
CVS,50302000000,1727000000
CY,1102469000,549545000
CONE,395200000,114808898
DHI,14704500000,392172821
DHR,25596600000,835500000
DRI,892600000,123080471
DVA,3690170000,125842853
SITC,97459000,193823409
DE,50853000000,536431204
DELL,36868000000,745000000
DAL,8249000000,651731443
XRAY,1999900000,264500000
DVN,3851000000,382000000
DXCM,1969400000,92400000
FANG,869000000,159002338
DKS,2410016000,136027864
DLR,1106392000,208900758
DFS,100519000000,566653650
DISCA,5217000000,715000000
DISCK,5217000000,715000000
DISH,4015100000,523039026
DIS,28124000000,1800000000
DOCU,943890000,181254000
DLB,1381540000,100141090
DG,5177868000,251936000
DLTR,4269400000,236726563
D,6088000000,838000000
DPZ,787617000,38934009
CLR,1207015000,371074036
COO,1163400000,53199999
DEI,325166000,175369746
DOV,2548430000,258551748
DD,9999000000,738564728
DTE,3086000000,192208533
DUK,9163000000,733000000
DRE,608165000,367950000
DNKN,907301000,82835830
DXC,9066000000,270213891
ETFC,15607000000,222622333
EXP,427621000,45117393
EWBC,4667465000,166621959
EMN,3321000000,219689444
ETN,8728000000,413300000
EV,2870008000,113566502
EBAY,4706000000,1694274900
SATS,2836214000,104279290
ECL,4828400000,288400000
EIX,3560000000,361985133
EW,2984000000,218100000
EA,6517000000,291000000
EMR,7139000000,953400000
ESRT,583433000,363788792
EHC,755800000,113230774
ENR,2036800000,72386840
ETR,3045992000,270035180
EOG,5273339000,582213016
EPAM,1474211000,55207446
EPR,648890000,81588489
EQT,1754855000,257003000
EFX,1209400000,189300000
EQIX,2862254000,85700953
EQC,2820199000,121924199
ELS,66418000,182089595
EQR,116999000,371670884
ERIE,891404000,74400000
ESS,251394000,66091954
EL,7212000000,583222938
EEFT,2918732000,62775762
EVR,1411339000,68698759
RE,6113532000,69464000
EVRG,1467700000,226641443
ES,2414539000,345858402
UFS,1518000000,65001104
DCI,1122600000,151643194
EXPE,7735000000,262214999
EXPD,2769923000,169622000
STAY,376521000,179483397
EXR,76947000,129534407
XOG,223750000,176517000
XOM,50052000000,8019000000
FFIV,1511586000,60367000
FB,66225000000,2852000000
FDS,583812000,40104192
FAST,2457200000,574128911
FRT,491367000,75540804
FDX,13086000000,318000000
FIS,8692000000,615000000
FITB,9892000000,923892581
FEYE,1313736000,219422000
FAF,2153192000,112476000
FCNCA,614333000,10629495
FHB,804018000,139917150
FHN,3930362000,311469056
FRC,2104421000,168620708
FSLR,3599834000,105448921
FE,2444000000,540652222
FISV,17046000000,791400000
FLT,4618571000,124626786
FLIR,1108734000,134394000
FND,701486000,101457858
FLO,553918000,228729585
FLS,2505370000,176793000
FLR,5440893000,139653824
FMC,4074800000,185983792
FNB,830000000,327242364
FNF,3030000000,292236476
FL,2386000000,104187310
F,114047000000,3964929075
FTNT,2769000000,171700000
FTV,3688800000,336900000
FBHS,1898200000,181890802
FOXA,6478000000,620596070
FOX,6478000000,620596070
BEN,9144700000,499303269
FCX,7915000000,1582000000
AJG,9117500000,188100000
GLPI,31051000,214694165
GPS,4516000000,371000000
EXAS,556959000,147625696
EXEL,1011190000,304831000
EXC,12037000000,975000000
GTES,1958600000,290157299
GLIBA,727823000,105744309
GD,19780000000,481880634
GE,92388000000,8738434000
GIS,4186500000,754600000
GM,74992000000,1400000000
GWR,627593000,75757651
G,1551676000,190118181
GNTX,950376892,251277515
GPC,7938616000,145378158
GILD,30296000000,1266000000
GPN,4366448000,300225590
GDDY,1575300000,174357000
GS,899342000000,896782652
GT,5934000000,233000000
GRA,1134900000,77456633
GGG,791468000,167286836
EAF,682580000,270485308
GHC,1663485000,20000000
GWW,3555000000,109659219
LOPE,208344000,53054000
GPK,1805600000,290246907
GRUB,566317000,91576060
GWRE,1334974000,82140883
HAIN,701787000,108833000
HAL,11212000000,1068000000
HBI,3224565000,362449037
THG,3445900000,60500000
HOG,4202823000,182816536
HIG,13518000000,384923222
HAS,6747521000,220286736
HE,5639596000,108973328
HCA,11196000000,338445600
HDS,1663000000,205500000
HTA,230320000,216453312
HEI,813731000,134496000
HP,1115086000,112080262
JKHY,569448000,103496026
HLF,1488200000,147400000
HSY,2117102000,221553025
HES,3156000000,304955472
GDI,1543900000,206767529
GRMN,3057850000,198077418
IT,2018741000,163602067
HGV,2060000000,85535501
HLT,2093000000,333159770
HFC,3306189000,256042554
HOLX,1793100000,292323000
HD,19810000000,1786000000
HON,24303000000,957600000
HRL,2361413000,534488746
HST,1637000000,713400000
HHC,1231520000,43635893
HPQ,20177000000,1458000000
HUBB,1574200000,54514172
HPP,295010000,154691052
HUM,19888000000,198629992
HBAN,2730000000,1024541000
HII,1785000000,53200000
HUN,3755000000,257408440
H,1706000000,101572453
IAC,3706989000,269019000
ICUI,882197000,20743000
IEX,1261445000,89948374
IDXX,679639000,105711000
INFO,1307800000,476300000
ITW,6253000000,550000000
ILMN,4451000000,194000000
INCY,2481488000,216177830
IR,1543900000,206767529
INGR,2160000000,77810875
PODD,591000000,62685492
IART,858168000,88735000
INTC,31239000000,4290000000
IBKR,71229000000,415559782
ICE,67979000000,607000000
IGT,2634037000,204435333
IP,6639000000,448900000
IPG,8770700000,387000000
IBM,38420000000,2237996975
IFF,2942544000,128526137
INTU,3594000000,260180000
ISRG,4662600000,116000000
IVZ,21712000000,566100000
INVH,463115000,541642725
IONS,2720597000,140339615
IPGP,1896634000,54743227
IQV,4126000000,253000000
HPE,15143000000,1294000000
HXL,704900000,109300000
HIW,322850000,103756046
HRC,1663400000,88457634
JAZZ,1630268000,56140000
JBHT,1481299000,167099432
JBGS,549356000,134148000
JEF,35406763000,316462612
JBLU,1786000000,427000000
JNJ,45274000000,3119843000
JCI,12393000000,804495430
JLL,5868600000,51549654
JPM,1109985000000,4104933895
JNPR,3209800000,335900000
KSU,728600000,123352185
KAR,3244500000,128833452
K,3431000000,420829201
KEY,6803000000,1256702081
KEYS,3215000000,194000000
KRC,488243000,106016287
KMB,5057000000,378600000
KIM,342636000,431814951
KMI,3238000000,2264936054
KEX,917579000,65472000
KLAC,4315075000,276202000
KNX,890028000,170688000
KSS,4649000000,375000000
KOS,566557000,445779367
KR,10890000000,1918000000
LB,3245000000,285000000
LHX,6312000000,218226614
LH,2981200000,97200000
LRCX,8560409000,285006000
LAMR,310169000,101016583
LW,961500000,146654827
LSTR,997888000,68083419
LVS,5305000000,833000000
LAZ,3297353000,112766091
LEA,6406700000,64563291
LM,1745864000,85556562
LEG,1538100000,198800000
LEN,22176627000,336562217
LII,1120900000,87170197
LBRDK,52133000,181901433
FWONA,748000000,231648986
ITT,1736800000,87800000
LECO,1075581000,98581434
LFUS,1004394000,25855203
LYV,4192899000,214117644
LYFT,3247363000,302595780
MSG,1413109000,24977510
MKL,13702372000,13794142
MAR,3127000000,324200000
MMC,7068000000,560641640
LPT,708743000,147899354
CPRI,1729000000,216050939
MSFT,175552000000,7643000000
MCO,3679000000,342902272
MS,760337000000,2038893979
MSM,1199612000,56470632
MSCI,2081777000,132419412
MYL,6757300000,540746871
NOV,6113000000,385886682
NBIX,831034000,92272000
NRZ,18139974000,415520780
MGM,4007693000,503147632
NCLH,730145000,237533270
NXPI,3267000000,315519638
OKE,1470334000,445016234
OI,2488000000,188447335
PKG,2478400000,94700000
PGRE,715069000,227432030
PK,724000000,239589639
PYPL,38495000000,1278000000
PM,20514000000,2109316331
PSX,14395000000,647416633
ESI,833400000,258400000
PPL,2767000000,767233000
PINC,614044000,64363759
TROW,2460200000,235214000
PG,22473000000,4009251000
PFPT,1229984000,56784000
PRU,36935000000,666305189
PWR,3830986000,159451723
PNR,1061900000,168293375
PBCT,1937200000,526900000
RBC,1607700000,40800000
RHI,1628849000,115120404
RES,436858000,214422979
RPM,2518092000,142439000
R,1562051000,53278316
SPGI,4712000000,294000000
SABR,1121920000,294320000
SAGE,1035093000,51880227
CRM,15963000000,893000000
SC,31677460000,362798115
SRPT,1468913000,75184863
SBAC,334271000,111775000
HSIC,3226502000,143353459
SLB,15530000000,1434515345
SNDR,1405700000,177867173
SCHW,93843000000,1487543446
SMG,1041700000,68200000
SEB,3350000000,1164848
SEE,1564000000,231622535
SHW,4631700000,119433808
SIRI,1003000000,4412000000
SM,252634000,112987952
SJM,1625200000,146497730
SSNC,2785900000,257500000
STLD,4253025000,266072787
SIVB,8189497000,51655607
SGEN,1176641000,171994000
TCF,1609062000,164315473
TDY,1313700000,37697865
TFX,1306332000,47536000
TPX,900200000,99200000
TEX,2019700000,82200000
WEN,554047000,470424000
TMO,11893000000,434416804
TOL,9746963000,152937000
TTC,1122891000,106742082
THS,1219500000,58000000
TRIP,533000000,151498306
SNV,1740896000,166800623
UMPQ,2158411000,220229282
UNP,3459000000,1112014480
UNVR,2453600000,168700000
OLED,792439000,48852193
UHS,1915934000,86706628
UNM,8455200000,305813326
URBN,1053396000,97976815
USB,30986000000,2125725742
VLO,18969000000,673501593
VEEV,1531124000,149095583
VTR,580092000,372811000
VRSK,744900000,544003038
WAB,4192100000,226947180
WM,6209000000,630282461
W,1377138000,93600426
WEC,2093600000,315434531
WRI,137913000,128702000
WBT,528900000,141272930
WFC,424364000000,5481811474
WST,1058700000,75300000
WAL,471974000,104527544
WLK,2742000000,134651380
WHR,7398000000,112000000
WLL,330983000,91743571
WMB,1580000000,1247000000
WSM,1755635000,77137000
WTFC,3277496000,57950803
VICI,11901127000,461004742
VIRT,7081156000,193414830
VNO,2858315000,190985677
ZBRA,1195000000,72151857
Z,3510154000,209066855
ZBH,4723900000,309900000
ZTS,4748000000,501891243
XRX,6140000000,214621000
YUM,1527000000,300000000
